来源文件,位置(程序键),楼层,分区,类型,数值/名称,说明
zp-data.global.js,"ZP.qty[""SLAB B-1""].beam",L1,SLAB B-1,登记表梁数量,"主梁nos=0, 钢梁sbNos=1, 明细35条",levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB B-1""].beam.beams[id=""1HB195""]",L1,SLAB B-1,登记表梁构件,1HB195,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB B-1""].beam.beams[id=""1HB196""]",L1,SLAB B-1,登记表梁构件,1HB196,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB B-1""].beam.beams[id=""1HB197""]",L1,SLAB B-1,登记表梁构件,1HB197,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB B-1""].beam.beams[id=""1HB198""]",L1,SLAB B-1,登记表梁构件,1HB198,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB B-1""].beam.beams[id=""MKB-1HB23""]",L1,SLAB B-1,登记表梁构件,MKB-1HB23,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB B-1""].beam.beams[id=""MKB-1HB94""]",L1,SLAB B-1,登记表梁构件,MKB-1HB94,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB B-1""].beam.beams[id=""MKB-1HB95""]",L1,SLAB B-1,登记表梁构件,MKB-1HB95,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB B-1""].beam.beams[id=""MKB-1HB96""]",L1,SLAB B-1,登记表梁构件,MKB-1HB96,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB B-1""].beam.beams[id=""MKB-1HB97""]",L1,SLAB B-1,登记表梁构件,MKB-1HB97,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB B-1""].beam.beams[id=""MKB-1HB98""]",L1,SLAB B-1,登记表梁构件,MKB-1HB98,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB B-1""].beam.beams[id=""MKB-1HB125""]",L1,SLAB B-1,登记表梁构件,MKB-1HB125,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB B-1""].beam.beams[id=""MKB-1HB125A""]",L1,SLAB B-1,登记表梁构件,MKB-1HB125A,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB B-1""].beam.beams[id=""MKB-1HB126""]",L1,SLAB B-1,登记表梁构件,MKB-1HB126,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB B-1""].beam.beams[id=""MKB-1HB126A""]",L1,SLAB B-1,登记表梁构件,MKB-1HB126A,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB B-1""].beam.beams[id=""MKB-1HB127""]",L1,SLAB B-1,登记表梁构件,MKB-1HB127,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB B-1""].beam.beams[id=""MKB-1HB127A""]",L1,SLAB B-1,登记表梁构件,MKB-1HB127A,levels仅L1却登记了梁 — 请人工核对后删除
