楼层,分区,类别,构件,月份
B1,B1|D01,col,WF-B1TC1,Nov'26
B1,B1|D01,col,WF-B1TC2,Nov'26
B1,B1|D01,col,WF-B1TC3,Nov'26
B1,B1|D01,col,WF-B1TC4,Nov'26
L2,L2|1.1,col,WF-1C23,Nov'26
L2,L2|1.1,col,WF-1C24,Nov'26
L2,L2|1.1,col,WF-1C25,Nov'26
L2,L2|1.1,col,WF-1C27,Nov'26
L2,L2|1.1,col,WF-1C28,Nov'26
L2,L2|1.2,col,WF-1C30,Aug'26
L2,L2|1.2,col,WF-1C31,Aug'26
L2,L2|1.2,col,WF-1C33,Aug'26
L2,L2|1.2,col,WF-1C38,Aug'26
L2,L2|1.2,col,WF-1C43,Aug'26
L2,L2|1.2,col,WF-1C49,Aug'26
L2,L2|2.1,col,WF-B2C46,Aug'26
L2,L2|2.1CIS,col,WF-1C104,Aug'26
L2,L2|2.1CIST,col,WF-B2C45,Sep'26
L2,L2|2.1CIST,col,WF-B2C54,Sep'26
L2,L2|2.1T,col,WF-B2C39,Aug'26
L2,L2|2.1T,col,WF-B2C40,Aug'26
L2,L2|2.1T,col,WF-B2C44,Aug'26
L2,L2|2.2,col,WF-B2C18,Nov'26
L2,L2|2.2,col,WF-B2C19,Nov'26
L2,L2|2.2,col,WF-B2C20,Nov'26
L2,L2|2.2,col,WF-B2C26,Nov'26
L2,L2|2.2T,col,WF-1C17A,Oct'26
L2,L2|2.2T,col,WF-B2C24,Oct'26
L2,L2|2.2T,col,WF-B2C25,Oct'26
L2,L2|2.2T,col,WF-B2C27,Oct'26
L2,L2|2.2T,col,WF-B2C31,Oct'26
L2,L2|2.2T,col,WF-B2C33,Oct'26
L2,L2|2.2T,col,WF-B2C34,Oct'26
L2,L2|2.2T,col,WF-B2C35,Oct'26
L2,L2|2.2T,col,WF-B2C36,Oct'26
L2,L2|2.3CIST,col,WF-B2C50,Aug'26
L2,L2|2.3CIST,col,WF-B2C58,Aug'26
L2,L2|2.3CIST,col,WF-B2C59,Aug'26
L2,L2|2.3T,col,WF-B2C41,Jun'26
L2,L2|2.3T,col,WF-B2C42,Jun'26
L2,L2|2.3T,col,WF-B2C43,Jun'26
L2,L2|2.3T,col,WF-B2C48,Jun'26
L2,L2|2.3T,col,WF-B2C49,Jun'26
L2,L2|2.4T,col,WF-1C21A,Oct'26
L2,L2|2.4T,col,WF-B2C29,Oct'26
L2,L2|2.4T,col,WF-B2C30,Oct'26
L2,L2|2.4T,col,WF-B2C32,Oct'26
L2,L2|2.4T,col,WF-B2C37,Oct'26
L2,L2|2.4T,col,WF-B2C38,Oct'26
L2,L2|2.6CIS,col,WF-B2C67,Sep'26
L2,L2|2.6CIS,col,WF-B2C69,Sep'26
L2,L2|2.6CIST,col,WF-B2C63,Sep'26
L2,L2|2.6CIST,col,WF-B2C66,Sep'26
L2,L2|3.1CIST,col,WF-1C59,Nov'26
L2,L2|3.1CIST,col,WF-1C66,Nov'26
L2,L2|3.1CIST,col,WF-1C67,Nov'26
L2,L2|3.1CIST,col,WF-1C74,Nov'26
L2,L2|3.1CIST,col,WF-1C82,Nov'26
L2,L2|3.1CIST,col,WF-1C83,Nov'26
L2,L2|3.1T,col,WF-1C57,Nov'26
L2,L2|3.1T,col,WF-1C58,Nov'26
L2,L2|3.1T,col,WF-1C65,Nov'26
L2,L2|3.1T,col,WF-1C72,Nov'26
L2,L2|3.1T,col,WF-1C73,Nov'26
L2,L2|3.2,col,WF-1C54,Nov'26
L2,L2|3.2,col,WF-1C55,Nov'26
L2,L2|3.2,col,WF-1C61,Nov'26
L2,L2|3.2,col,WF-1C63,Nov'26
L2,L2|3.2,col,WF-1C68,Nov'26
L2,L2|3.2,col,WF-1C69,Nov'26
L2,L2|3.2,col,WF-1C70,Nov'26
L2,L2|3.2,col,WF-1C71,Nov'26
L2,L2|3.2T,col,WF-1C56,Dec'26
L2,L2|3.3CIST,col,WF-1C100,Oct'26
L2,L2|3.3CIST,col,WF-1C81,Oct'26
L2,L2|3.3CIST,col,WF-1C90,Oct'26
L2,L2|3.3CIST,col,WF-1C91,Oct'26
L2,L2|3.3CIST,col,WF-1C92,Oct'26
L2,L2|3.3CIST,col,WF-1C99,Oct'26
L2,L2|3.3T,col,WF-1C79,Nov'26
L2,L2|3.3T,col,WF-1C80,Nov'26
L2,L2|3.4,col,WF-1C78,Dec'26
L2,L2|3.4,col,WF-1C96,Dec'26
L2,L2|3.4T,col,WF-1C88,Dec'26
L2,L2|3.4T,col,WF-1C89,Dec'26
L2,L2|3.4T,col,WF-1C97,Dec'26
L2,L2|3.4T,col,WF-1C98,Dec'26
L2,L2|P1.2T,col,WF-1C34,Sep'26
L2,L2|P1.2T,col,WF-1C35,Sep'26
L2,L2|P1.2T,col,WF-1C36,Sep'26
L2,L2|P1.2T,col,WF-1C39,Sep'26
L2,L2|P1.2T,col,WF-1C40,Sep'26
L2,L2|P1.2T,col,WF-1C41,Sep'26
L2,L2|P1.2T,col,WF-1C44,Sep'26
L2,L2|P1.2T,col,WF-1C45,Sep'26
L2,L2|P1.2T,col,WF-1C46,Sep'26
L2,L2|P1.2T,col,WF-1C47,Sep'26
L2,L2|P1.2T,col,WF-1C50,Sep'26
L2,L2|P1.2T,col,WF-1C51,Sep'26
L2,L2|P1.2T,col,WF-1C52,Sep'26
L2,L2|P1.2T,col,WF-1C53,Sep'26
L2,L2|P1.2T,col,WF-B2C53,Sep'26
