来源,楼层,分区,活动/构件,月份,数值,开始,结束,原因
act_plan(活动计划量),L1,POD2.1T,Steel Main Beams,Apr'26,0.1,,,"页面无该楼层图/分区, 推不上去 — 需人工确认归属"
act_plan(活动计划量),L1,POD2.4,Steel Main Beams,Jan'27,0.1,,,"页面无该楼层图/分区, 推不上去 — 需人工确认归属"
act_plan(活动计划量),L1,POD2.4T,Steel Main Beams,Jul'26,0,,,"页面无该楼层图/分区, 推不上去 — 需人工确认归属"
act_plan(活动计划量),L3,1.1,Steel Main Beams,Jan'27,6,,,"页面无该楼层图/分区, 推不上去 — 需人工确认归属"
act_plan(活动计划量),L3,1.1,Steel Beams,Dec'26,6,,,"页面无该楼层图/分区, 推不上去 — 需人工确认归属"
act_plan(活动计划量),L3,1.2,Steel Main Beams,Oct'26,7,,,"页面无该楼层图/分区, 推不上去 — 需人工确认归属"
act_plan(活动计划量),L3,1.2,Steel Beams,Sep'26,7,,,"页面无该楼层图/分区, 推不上去 — 需人工确认归属"
act_plan(活动计划量),L3,2.1CIS,Steel Main Beams,Sep'26,7,,,"页面无该楼层图/分区, 推不上去 — 需人工确认归属"
act_plan(活动计划量),L3,2.1CIS,Steel Beams,Sep'26,7,,,"页面无该楼层图/分区, 推不上去 — 需人工确认归属"
act_plan(活动计划量),L3,2.2,Steel Main Beams,Dec'26,5,,,"页面无该楼层图/分区, 推不上去 — 需人工确认归属"
act_plan(活动计划量),L3,2.2,Steel Beams,Nov'26,5,,,"页面无该楼层图/分区, 推不上去 — 需人工确认归属"
act_plan(活动计划量),L3,2.2T,Steel Main Beams,Dec'26,10,,,"页面无该楼层图/分区, 推不上去 — 需人工确认归属"
act_plan(活动计划量),L3,2.2T,Steel Beams,Nov'26,10,,,"页面无该楼层图/分区, 推不上去 — 需人工确认归属"
act_plan(活动计划量),L3,2.3CIST,Steel Main Beams,Oct'26,4,,,"页面无该楼层图/分区, 推不上去 — 需人工确认归属"
act_plan(活动计划量),L3,2.3CIST,Steel Beams,Sep'26,4,,,"页面无该楼层图/分区, 推不上去 — 需人工确认归属"
act_plan(活动计划量),L3,2.3T,Steel Main Beams,Jul'26,7,,,"页面无该楼层图/分区, 推不上去 — 需人工确认归属"
act_plan(活动计划量),L3,2.3T,Steel Beams,Jun'26,7,,,"页面无该楼层图/分区, 推不上去 — 需人工确认归属"
act_plan(活动计划量),L3,2.4T,Steel Main Beams,Oct'26,6,,,"页面无该楼层图/分区, 推不上去 — 需人工确认归属"
act_plan(活动计划量),L3,2.4T,Steel Beams,Oct'26,6,,,"页面无该楼层图/分区, 推不上去 — 需人工确认归属"
act_plan(活动计划量),L3,2.6CIS,Steel Main Beams,Oct'26,1,,,"页面无该楼层图/分区, 推不上去 — 需人工确认归属"
act_plan(活动计划量),L3,2.6CIS,Steel Beams,Oct'26,1,,,"页面无该楼层图/分区, 推不上去 — 需人工确认归属"
act_plan(活动计划量),L3,2.6CIST,Steel Main Beams,Oct'26,3,,,"页面无该楼层图/分区, 推不上去 — 需人工确认归属"
act_plan(活动计划量),L3,2.6CIST,Steel Beams,Sep'26,3,,,"页面无该楼层图/分区, 推不上去 — 需人工确认归属"
