楼层level,指标key,指标名称,"当前自动值(参考,改它无效)","覆盖值(填数字才生效,清空恢复自动)"
B2,columns,柱 Columns,222,
B2,pilecap,桩帽 Pile Caps,247,
B2,mainbeam,钢主梁 Steel Main Beams,,
B2,steelbeam,钢梁 Steel Beams,,
B2,liftstair,梯/井 Lift·Stair,13,
B2,area,面积 Area m²,29271,
B2,exc,挖土 Excavation m³,104568,
B2,demo,拆除 Demolition m³,,
B1,columns,柱 Columns,222,
B1,pilecap,桩帽 Pile Caps,,
B1,mainbeam,钢主梁 Steel Main Beams,,14
B1,steelbeam,钢梁 Steel Beams,,
B1,liftstair,梯/井 Lift·Stair,12,
B1,area,面积 Area m²,24753,
B1,exc,挖土 Excavation m³,147715,103713
B1,demo,拆除 Demolition m³,,
B1M,columns,柱 Columns,112,
B1M,pilecap,桩帽 Pile Caps,,
B1M,mainbeam,钢主梁 Steel Main Beams,,
B1M,steelbeam,钢梁 Steel Beams,,
B1M,liftstair,梯/井 Lift·Stair,8,
B1M,area,面积 Area m²,10767,
B1M,exc,挖土 Excavation m³,,
B1M,demo,拆除 Demolition m³,,
L1,columns,柱 Columns,136,
L1,pilecap,桩帽 Pile Caps,,
L1,mainbeam,钢主梁 Steel Main Beams,,
L1,steelbeam,钢梁 Steel Beams,,
L1,liftstair,梯/井 Lift·Stair,29,
L1,area,面积 Area m²,45950,
L1,exc,挖土 Excavation m³,,
L1,demo,拆除 Demolition m³,,
L2,columns,柱 Columns,136,
L2,pilecap,桩帽 Pile Caps,10,
L2,mainbeam,钢主梁 Steel Main Beams,113,
L2,steelbeam,钢梁 Steel Beams,505,
L2,liftstair,梯/井 Lift·Stair,32,
L2,area,面积 Area m²,19950,
L2,exc,挖土 Excavation m³,,
L2,demo,拆除 Demolition m³,,
