楼层,分区,活动,活动名称(参考),月份,计划量,完成量,活动开始,活动结束
B1,A-01,slab,Slab,Dec'26,6,,2026-04-01,2026-06-30
B1,A-01,col,Column,Dec'26,10,,2026-07-01,2026-08-27
B1,A-02,slab,Slab,Dec'26,5,,2026-04-01,2026-05-28
B1,A-02,col,Column,Dec'26,15,,2026-05-29,2026-08-11
B1,A-03,slab,Slab,Jan'27,6,,2026-04-01,2026-06-30
B1,A-03,col,Column,Jan'27,10,,2026-07-01,2026-08-27
B1,A-04,slab,Slab,Jan'27,,,2026-07-01,2026-07-29
B1,A-04,col,Column,Jan'27,7,,2026-07-30,2026-09-25
B1,A-05,slab,Slab,Feb'27,7,,2026-04-01,2026-07-07
B1,A-05,col,Column,Feb'27,16,,2026-07-08,2026-09-23
B1,A-06,slab,Slab,Feb'27,7,,2026-04-01,2026-07-07
B1,A-06,col,Column,Feb'27,16,,2026-07-08,2026-09-23
B1,A-07,slab,Slab,Mar'27,4,,2026-04-01,2026-06-08
B1,A-07,col,Column,Mar'27,8,,2026-06-09,2026-08-14
B1,B-01,slab,Slab,Jul'26,5,,2026-04-01,2026-05-28
B1,B-01,col,Column,Jul'26,15,,2026-05-29,2026-08-11
B1,B-02,slab,Slab,Aug'26,,,2026-04-01,2026-06-30
B1,B-02,col,Column,Sep'26,9,,2026-07-01,2026-08-27
B1,B-03,slab,Slab,Oct'26,24,,2026-04-01,2026-06-04
B1,B-03,col,Column,Oct'26,15,,2026-06-05,2026-08-12
B1,B-03,act_corewall,Core Wall,Nov'26,1,,2026-08-13,2026-10-07
B1,B-03,ls,Lift/Stairs Wall,Oct'26,1,,2026-10-08,2026-12-30
B1,B-04,slab,Slab,Nov'26,37,,2026-04-01,2026-05-08
B1,B-04,col,Column,Dec'26,14,,2026-05-11,2026-07-16
B1,B-04A,slab,Slab,Jun'26,37,,2026-04-01,2026-05-08
B1,B-04A,col,Column,Jun'26,14,,2026-05-11,2026-07-16
B1,C-01a,earth,Earthwork,Jul'26,,,2026-04-01,2026-05-18
B1,C-01a,exc,Excavation,Jun'26,,,2026-05-19,2026-06-25
B1,C-01a,slab,Slab,Jul'26,10,,2026-06-26,2026-07-16
B1,C-01a,col,Column,Aug'26,6,,2026-07-17,2026-09-14
B1,C-01a,ls,Lift/Stairs Wall,Sep'26,1,,2027-01-13,2027-04-06
B1,C-01a-1,earth,Earthwork,Oct'26,,,2026-04-01,2026-05-18
B1,C-01a-1,exc,Excavation,Jun'26,,,2026-05-19,2026-06-25
B1,C-01a-1,slab,Slab,Jul'26,10,,2026-06-26,2026-07-16
B1,C-01a-1,col,Column,Jul'26,6,,2026-07-17,2026-09-14
B1,C-01a-1,ls,Lift/Stairs Wall,Aug'26,1,,2027-01-13,2027-04-06
B1,C-01b,earth,Earthwork,Aug'26,,,2026-04-01,2026-05-18
