楼层,分区,活动,活动名称(参考),月份,计划量,完成量,活动开始,活动结束
B1M,B1M|S1,slab_top,Top Slab,Sep'26,4,,2026-09-24,2026-10-22
B1M,B1M|S1,slab_top,Top Slab,Oct'26,4,,2026-09-24,2026-10-22
B1M,B1M|S1,col,Column,Oct'26,7,,2026-10-23,2026-11-20
B1M,B1M|S1,col,Column,Nov'26,7,,2026-10-23,2026-11-20
B1M,B1M|S2,slab_top,Top Slab,Aug'26,,,2026-08-12,2026-09-09
B1M,B1M|S2,slab_top,Top Slab,Sep'26,,,2026-08-12,2026-09-09
B1M,B1M|S2,col,Column,Sep'26,6,,2026-09-10,2026-10-08
B1M,B1M|S2,col,Column,Oct'26,6,,2026-09-10,2026-10-08
B1M,B1M|S3,slab_top,Top Slab,Aug'26,23,,2026-08-28,2026-09-25
B1M,B1M|S3,slab_top,Top Slab,Sep'26,22,,2026-08-28,2026-09-25
B1M,B1M|S3,col,Column,Oct'26,13,,2026-10-27,2026-11-24
B1M,B1M|S3,col,Column,Nov'26,12,,2026-10-27,2026-11-24
B1M,B1M|S4,slab_top,Top Slab,Sep'26,3,,2026-09-28,2026-10-26
B1M,B1M|S4,slab_top,Top Slab,Oct'26,2,,2026-09-28,2026-10-26
B1M,B1M|S4,col,Column,Oct'26,10,,2026-10-27,2026-11-24
B1M,B1M|S4,col,Column,Nov'26,9,,2026-10-27,2026-11-24
B1M,B1M|S5,slab_top,Top Slab,Dec'26,15,,2026-12-08,2027-01-05
B1M,B1M|S5,slab_top,Top Slab,Jan'27,15,,2026-12-08,2027-01-05
B1M,B1M|S5,col,Column,Jan'27,3,,2027-01-06,2027-02-03
B1M,B1M|S5,col,Column,Feb'27,2,,2027-01-06,2027-02-03
B1M,B1M|S6,slab_top,Top Slab,Dec'26,11,,2026-12-10,2027-01-07
B1M,B1M|S6,slab_top,Top Slab,Jan'27,11,,2026-12-10,2027-01-07
B1M,B1M|S6,col,Column,Jan'27,3,,2027-01-08,2027-02-05
B1M,B1M|S6,col,Column,Feb'27,2,,2027-01-08,2027-02-05
B1M,B1M|S7,slab_top,Top Slab,Nov'26,17,,2026-11-27,2026-12-25
B1M,B1M|S7,slab_top,Top Slab,Dec'26,16,,2026-11-27,2026-12-25
B1M,B1M|S7,col,Column,Dec'26,6,,2026-12-28,2027-01-25
B1M,B1M|S7,col,Column,Jan'27,6,,2026-12-28,2027-01-25
B1M,B1M|S8,slab_top,Top Slab,Feb'27,,,2027-02-08,2027-02-19
B1M,B1M|S8,col,Column,Feb'27,3,,2027-02-22,2027-04-20
B1M,B1M|S8,col,Column,Mar'27,3,,2027-02-22,2027-04-20
B1M,B1M|S8,col,Column,Apr'27,3,,2027-02-22,2027-04-20
