楼层,分区,计划开始,计划结束
B1,B1|A01,2026-04-01,2026-08-27
B1,B1|A03,2026-04-01,2026-08-27
B1,B1|A04,2026-07-01,2026-09-25
B1,B1|A05,2026-04-01,2026-09-03
B1,B1|A06,2026-04-01,2026-09-23
B1,B1|A07,2026-04-01,2026-08-14
B1,B1|B01,2026-04-01,2026-08-11
B1,B1|B02,2026-04-01,2026-08-27
B1,B1|B03,2026-04-01,2026-12-30
B1,B1|B04,2026-04-01,2026-05-08
B1,B1|B04A,2026-04-01,2026-07-16
B1,B1|C01A,2026-05-19,2026-07-16
B1,B1|C01A1,2026-05-19,2026-07-16
B1,B1|C01B,2026-05-19,2026-07-16
B1,B1|C021,2026-07-01,2026-08-26
B1,B1|C022,2026-07-01,2026-08-26
B1,B1|C023,2026-07-01,2026-08-26
B1,B1|D01,2026-08-01,2026-11-26
B1,B1|D02,2026-09-21,2026-11-18
B1,B1|E011,2026-07-14,2026-09-10
B1,B1|E012,2026-07-14,2026-09-10
B1,B1|EB1S2.1,2026-07-01,2026-07-29
B1,B1|EB1S2.2,2026-06-04,2026-06-12
B1,B1|EB1S2.3,2026-06-15,2026-07-23
B1,B1|EB1S2.4,2026-07-31,2026-08-19
B1,B1|EB1S5,2026-07-03,2026-08-31
B1,B1|EB1S6,2026-08-21,2026-09-18
B1,B1|EB1S7,2026-09-29,2026-10-27
B1,B1|EB1S8,2026-09-29,2026-11-16
B1,B1|F011,2026-07-24,2026-10-02
B1,B1|F012,2026-07-24,2026-10-02
B1,B1|F021,2026-09-07,2026-10-08
B1,B1|F022,2026-09-07,2026-10-08
B1M,B1M|S1,2026-09-10,2026-11-20
B1M,B1M|S2,2026-08-12,2026-09-09
B1M,B1M|S3,2026-08-28,2026-09-25
B1M,B1M|S4,2026-09-28,2026-10-26
B1M,B1M|S5,2026-12-08,2027-02-03
B1M,B1M|S6,2026-12-10,2027-02-05
B1M,B1M|S7,2026-11-27,2027-01-25
B1M,B1M|S8,2027-02-08,2027-04-20
B2,B2|B2S1,2026-10-26,2027-01-25
B2,B2|B2S10,2026-09-24,2026-12-28
B2,B2|B2S11,2026-06-24,2026-12-31
B2,B2|B2S12,2026-08-06,2026-12-25
B2,B2|B2S13,2026-08-07,2026-11-26
B2,B2|B2S13A,2026-08-17,2026-11-12
B2,B2|B2S14,2026-07-06,2026-10-29
B2,B2|B2S14A,2026-07-23,2026-10-28
B2,B2|B2S1A,2026-08-30,2026-11-02
B2,B2|B2S21,2026-10-21,2027-02-01
B2,B2|B2S22,2026-10-21,2027-02-01
B2,B2|B2S2A,2026-07-31,2026-10-20
B2,B2|B2S31,2026-08-07,2027-03-05
B2,B2|B2S32,2026-08-07,2027-03-05
B2,B2|B2S41,2026-10-08,2027-03-03
B2,B2|B2S42,2026-10-08,2027-03-03
B2,B2|B2S51,2026-10-12,2027-02-23
B2,B2|B2S52,2026-10-12,2027-02-23
B2,B2|B2S6,2026-11-19,2027-05-28
B2,B2|B2S6A,2026-10-24,2027-02-01
B2,B2|B2S7,2026-10-26,2027-05-24
B2,B2|B2S8,2026-09-18,2026-12-29
B2,B2|B2S8A,2026-09-01,2026-12-10
B2,B2|B2S9,2026-08-21,2026-12-16
L1,L1|SLAB102,2026-07-03,2026-07-27
L1,L1|SLAB13F011,2026-05-05,2026-05-18
L1,L1|SLAB13F012,2026-05-11,2026-05-22
L1,L1|SLAB71,2026-06-18,2026-07-01
L1,L1|SLAB81,2026-10-07,2026-10-20
L1,L1|SLAB82,2026-09-01,2026-09-17
L1,L1|SLABB2.1,2026-08-20,2026-09-11
L1,L1|SLABB2.2,2026-08-19,2026-09-01
L1,L1|SLABB2.3,2026-08-18,2026-08-31
L1,L1|SLABB2.4,2026-09-07,2026-09-18
L1,L1|SLABB3.1,2026-09-30,2026-10-13
L1,L1|SLABB3.2,2026-10-20,2026-11-02
L1,L1|SLABB3.3,2026-11-12,2026-12-04
L1,L1|ZC1,2026-07-06,2026-11-12
L1,L1|ZC3.2,2026-10-09,2026-11-06
L2,L2|1.1,2026-11-27,2027-04-13
L2,L2|1.2,2026-08-24,2026-10-15
L2,L2|2.1,2026-07-07,2026-09-23
L2,L2|2.1CIS,2026-07-29,2026-10-06
L2,L2|2.1CIST,2026-09-05,2026-10-14
L2,L2|2.1T,2026-08-06,2027-03-17
L2,L2|2.2,2026-11-13,2026-12-10
L2,L2|2.2T,2026-10-16,2027-03-22
L2,L2|2.3CIST,2026-07-22,2026-10-12
L2,L2|2.3T,2026-06-08,2027-01-19
L2,L2|2.4,2027-01-19,2027-02-25
L2,L2|2.4T,2026-10-05,2027-03-11
L2,L2|2.6CIS,2026-09-21,2026-12-11
L2,L2|2.6CIST,2026-08-17,2026-10-16
L2,L2|3.1CIST,2026-10-21,2026-12-09
L2,L2|3.1T,2026-11-16,2027-04-20
L2,L2|3.2,2026-11-18,2027-01-28
L2,L2|3.2T,2026-12-03,2027-04-23
L2,L2|3.3CIST,2026-10-02,2026-12-14
L2,L2|3.3T,2026-11-11,2027-03-12
L2,L2|3.4,2026-12-02,2027-01-04
L2,L2|3.4T,2026-12-02,2027-04-20
L2,L2|4.1,2026-09-22,2027-04-16
L2,L2|4.1CIST,2026-09-30,2026-12-30
L2,L2|4.2,2026-09-30,2026-10-26
L2,L2|4.2T,2026-09-15,2027-03-09
L2,L2|4.3CIST,2026-10-30,2027-01-11
L2,L2|4.3T,2026-11-19,2027-04-19
L2,L2|4.4,2026-12-18,2027-04-22
L2,L2|P1.2T,2026-09-01,2027-04-02
