组号group,大区area,楼层level,类型type,名称name,mk键
0,EB,B2,分区,EB2-1,B2|EB21
0,EB,B1,分区,EB1S1,B1|EB1S1
1,EB,B2,分区,EB2-3.1A-2,B2|EB23.1A2
1,EB,B2,分区,EB2-3.2-2,B2|EB23.22
1,EB,B2,别名,EB2-3.1A-2+3.2-2,
1,EB,B1,分区,EB1S8,B1|EB1S8
1,EB,L1,分区,SLAB B-3.4,L1|SLABB3.4
2,EB,B2,分区,EB2-3.1B,B2|EB23.1B
3,EB,B2,分区,EB2-3.1C,B2|EB23.1C
4,EB,B2,分区,EB2-3.4,B2|EB23.4
5,EB,B2,分区,EB2-3.5,B2|EB23.5
5,EB,L1,分区,SLAB B-3.5,L1|SLABB3.5
6,EB,L1,分区,SLAB B-1,L1|SLABB1
7,NB,B2,分区,B2-S10,B2|B2S10
7,NB,B1,分区,B-02,B1|B02
7,NB,B1,别名,B-02+03,
7,NB,B1M,分区,S-3,B1M|S3
8,NB,B2,分区,B2-S11,B2|B2S11
8,NB,B1,分区,B-03,B1|B03
9,NB,B2,分区,B2-S12,B2|B2S12
9,NB,B1,分区,B-04,B1|B04
9,NB,B1,分区,B-04A,B1|B04A
9,NB,B1,别名,B-04+04A,
10,NB,B2,分区,B2-S13,B2|B2S13
10,NB,B1,分区,A-02,B1|A02
10,NB,B1,分区,B-01,B1|B01
10,NB,B1,别名,A-02+B-01,
10,NB,B1,别名,A-02+B-01+04+04A,
10,NB,B1M,分区,S-2,B1M|S2
11,NB,B2,分区,B2-S13a,B2|B2S13A
11,NB,B2,分区,B2-S14a,B2|B2S14A
11,NB,B2,分区,B2-S8a,B2|B2S8A
11,NB,B2,别名,B2-S8a+14a+13a,
11,NB,B1,分区,A-07,B1|A07
12,NB,B2,分区,B2-S14,B2|B2S14
12,NB,B1,分区,A-01,B1|A01
12,NB,B1,分区,A-03,B1|A03
12,NB,B1,别名,A-01+03,
12,NB,B1M,分区,S-1,B1M|S1
13,NB,B2,分区,B2-S2-1,B2|B2S21
14,NB,B2,分区,B2-S6,B2|B2S6
14,NB,B2,分区,B2-S6a,B2|B2S6A
14,NB,B2,别名,B2-S6+6a,
14,NB,B1,分区,D-02,B1|D02
14,NB,B1M,分区,S-8,B1M|S8
14,NB,L1,分区,SLAB 9A,L1|SLAB9A
14,NB,L1,分区,SLAB 9B,L1|SLAB9B
14,NB,L1,别名,ZSlab 9a+9b,
14,NB,L1,别名,ZSlab9a+b,
15,NB,B2,分区,B2-S7,B2|B2S7
15,NB,B1,分区,D-01,B1|D01
15,NB,B1M,分区,S-7,B1M|S7
15,NB,L1,分区,SLAB 11A,L1|SLAB11A
15,NB,L1,分区,SLAB 11B,L1|SLAB11B
15,NB,L1,别名,ZSlab 11a+11b,
15,NB,L1,别名,ZSlab11a+b,
16,NB,B2,分区,B2-S8,B2|B2S8
16,NB,B1,分区,A-05,B1|A05
16,NB,B1,分区,A-06,B1|A06
16,NB,B1,别名,A-05+06,
17,NB,B2,分区,B2-S9,B2|B2S9
17,NB,B1,分区,A-04,B1|A04
17,NB,B1M,分区,S-4,B1M|S4
18,NB,L1,分区,CAPPING BEAM 1A,L1|CAPPINGBEAM1A
19,NB,L1,分区,CAPPING BEAM 1B,L1|CAPPINGBEAM1B
20,NB,L1,分区,CAPPING BEAM 1C,L1|CAPPINGBEAM1C
21,NB,L1,分区,CAPPING BEAM 2A,L1|CAPPINGBEAM2A
22,NB,L1,分区,CAPPING BEAM 2B,L1|CAPPINGBEAM2B
23,NB,L1,分区,CAPPING BEAM 3A,L1|CAPPINGBEAM3A
24,NB,L1,分区,CAPPING BEAM 3B,L1|CAPPINGBEAM3B
25,NB,L1,分区,CAPPING BEAM 4,L1|CAPPINGBEAM4
26,NB,L1,分区,CAPPING BEAM 5,L1|CAPPINGBEAM5
27,NB,L1,分区,CAPPING BEAM 6,L1|CAPPINGBEAM6
28,NB,L1,分区,CAPPING BEAM 7,L1|CAPPINGBEAM7
29,NB,L1,分区,CAPPING BEAM 8,L1|CAPPINGBEAM8
30,NB,L1,分区,M-SLAB6,L1|MSLAB6
31,NB,L1,分区,M-SLAB 1,L1|MSLAB1
32,NB,L1,分区,M-SLAB 2,L1|MSLAB2
33,NB,L1,分区,M-SLAB 3,L1|MSLAB3
34,NB,L1,分区,M-SLAB 4,L1|MSLAB4
35,NB,L1,分区,M-SLAB 5,L1|MSLAB5
36,NB,L1,分区,SLAB 1,L1|SLAB1
37,NB,L1,分区,SLAB 2A,L1|SLAB2A
38,NB,L1,分区,SLAB 2C,L1|SLAB2C
39,NB,L1,分区,SLAB 2D,L1|SLAB2D
40,NB,L1,分区,SLAB 2D-1,L1|SLAB2D1
41,NB,L1,分区,SLAB 3A,L1|SLAB3A
42,NB,L1,分区,SLAB 3B,L1|SLAB3B
43,NB,L1,分区,SLAB 3C,L1|SLAB3C
44,NB,L1,分区,SLAB 3C-1,L1|SLAB3C1
45,NB,L1,分区,SLAB 4A,L1|SLAB4A
46,NB,L1,分区,SLAB 4B,L1|SLAB4B
47,NB,L1,分区,SLAB 5A,L1|SLAB5A
48,NB,L1,分区,SLAB 5B,L1|SLAB5B
49,NB,L1,分区,SLAB 6A,L1|SLAB6A
50,NB,L1,分区,SLAB 6A-1,L1|SLAB6A1
51,NB,L1,分区,SLAB 6B,L1|SLAB6B
52,MA,L1,分区,ZC1,L1|ZC1
52,MA,L1,别名,C1-1,
52,MA,L1,别名,C1-2,
52,MA,L1,别名,C1-3,
52,MA,L1,别名,C1-4,
52,MA,L1,别名,C1-5,
52,MA,L1,别名,C1-6,
52,MA,L1,别名,C1-7,
52,MA,L1,别名,CZ2-2,
52,MA,L1,别名,CZ4-2,
53,MA,L1,分区,ZC3.2,L1|ZC3.2
53,MA,L1,别名,C3.2-1,
53,MA,L1,别名,C3.2-2,
53,MA,L1,别名,C3.2-3,
53,MA,L1,别名,C3.2-4,
53,MA,L1,别名,C3.2-5,
53,MA,L1,别名,C3.2-6,
53,MA,L1,别名,C3.2-7,
53,MA,L1,别名,CZ2-1,
53,MA,L1,别名,CZ3,
53,MA,L1,别名,CZ4-1,
54,MA,L1,分区,ZC2.1,L1|ZC2.1
54,MA,L1,分区,ZC2.2,L1|ZC2.2
54,MA,L1,别名,C2-1,
54,MA,L1,别名,C2-2,
54,MA,L1,别名,C2-3,
54,MA,L1,别名,C2-4,
54,MA,L1,别名,C2-5,
54,MA,L1,别名,C2-6,
54,MA,L1,别名,C2-7,
54,MA,L1,别名,C2-8,
54,MA,L1,别名,CZ6-2,
54,MA,L1,别名,CZ7-2,
54,MA,L1,别名,CZ5,
55,MA,L1,分区,ZC3.1B,L1|ZC3.1B
55,MA,L1,别名,C3.1-1,
55,MA,L1,别名,C3.1-2,
55,MA,L1,别名,C3.1-3,
55,MA,L1,别名,C3.1-4,
55,MA,L1,别名,C3.1-5,
55,MA,L1,别名,C3.1-6,
55,MA,L1,别名,C3.1-7,
55,MA,L1,别名,C3.1-8,
55,MA,L1,别名,CZ6-1,
55,MA,L1,别名,CZ7-1,
56,MA,L1,分区,ZC3.1A,L1|ZC3.1A
56,MA,L1,别名,C3.1-1,
56,MA,L1,别名,C3.1-2,
56,MA,L1,别名,C3.1-3,
56,MA,L1,别名,C3.1-4,
56,MA,L1,别名,C3.1-5,
56,MA,L1,别名,C3.1-6,
56,MA,L1,别名,C3.1-7,
56,MA,L1,别名,C3.1-8,
56,MA,L1,别名,CZ2-1,
56,MA,L1,别名,CZ3,
56,MA,L1,别名,CZ4-1,
57,EB,B2,分区,EB2-2.2,B2|EB22.2
57,EB,B1,分区,EB1S2.2,B1|EB1S2.2
57,EB,L1,分区,SLAB B-2.2,L1|SLABB2.2
57,EB,L1,别名,Slab B-2.2(CJ2),
57,EB,L1,别名,ZSlabB2.2,
57,EB,L2,分区,4.1,L2|4.1
57,EB,L2,别名,POD4.1,
58,EB,B2,分区,EB2-2.1,B2|EB22.1
58,EB,B1,分区,EB1S2.1,B1|EB1S2.1
58,EB,L1,分区,SLAB B-2.1,L1|SLABB2.1
58,EB,L1,别名,Slab B-2.1(CJ1-1,
58,EB,L1,别名,ZSlabB2.1,
58,EB,L2,分区,4.1CIST,L2|4.1CIST
58,EB,L2,别名,POD4.1 CIST,
59,EB,B2,分区,EB2-2.4,B2|EB22.4
59,EB,B1,分区,EB1S2.4,B1|EB1S2.4
59,EB,L1,分区,SLAB B-2.4,L1|SLABB2.4
59,EB,L1,别名,Slab B-2.4(CJ4),
59,EB,L1,别名,ZSlabB2.3-1+ZSlab2.4-1,
59,EB,L2,分区,4.2,L2|4.2
59,EB,L2,别名,POD4.2,
60,EB,B2,分区,EB2-2.3,B2|EB22.3
60,EB,B1,分区,EB1S2.3,B1|EB1S2.3
60,EB,L1,分区,SLAB B-2.3,L1|SLABB2.3
60,EB,L1,别名,Slab B-2.3(CJ3),
60,EB,L1,别名,ZSlabB2.3-2,
60,EB,L2,分区,4.2T,L2|4.2T
60,EB,L2,别名,POD4.2T,
61,EB,B2,分区,EB2-3.1A-1,B2|EB23.1A1
61,EB,B1,分区,EB1S5,B1|EB1S5
61,EB,L1,分区,SLAB B-3.1,L1|SLABB3.1
61,EB,L1,别名,ZSlabB3.1,
61,EB,L2,分区,4.3CIST,L2|4.3CIST
61,EB,L2,别名,POD4.3CIST,
62,EB,B2,分区,EB2-3.2-1,B2|EB23.21
62,EB,B1,分区,EB1S6,B1|EB1S6
62,EB,L1,分区,SLAB B-3.2,L1|SLABB3.2
62,EB,L1,别名,ZSlabB3.2,
62,EB,L2,分区,4.3T,L2|4.3T
62,EB,L2,别名,POD4.3T,
63,EB,B2,分区,EB2-3.3,B2|EB23.3
63,EB,B1,分区,EB1S7,B1|EB1S7
63,EB,L1,分区,SLAB B-3.3,L1|SLABB3.3
63,EB,L1,别名,Slab B-3.3+3.5,
63,EB,L1,别名,ZSlabB3.3,
63,EB,L2,分区,4.4,L2|4.4
63,EB,L2,别名,POD4.4,
64,NB,B2,分区,B2-S2-2,B2|B2S22
64,NB,B2,分区,B2-S2a,B2|B2S2A
64,NB,B2,别名,B2-S2,
64,NB,B1,分区,C-01b,B1|C01B
64,NB,B1,分区,C-01a-1,B1|C01A1
64,NB,L1,分区,SLAB 7-1,L1|SLAB71
64,NB,L1,别名,ZSlab7-1,
64,NB,L2,分区,2.1,L2|2.1
64,NB,L2,别名,POD2.1,
65,NB,B2,别名,B2-S2-1+S2a,
65,NB,B1,分区,C-01a,B1|C01A
65,NB,B1,分区,C-02-3,B1|C023
65,NB,B1M,别名,S2a,
65,NB,L1,分区,SLAB 7-2,L1|SLAB72
65,NB,L1,分区,SLAB 7-3,L1|SLAB73
65,NB,L1,分区,SLAB 7-4,L1|SLAB74
65,NB,L1,别名,ZSlab7-3,
65,NB,L1,别名,ZSlab7-4,
65,NB,L1,别名,ZSlab7-2,
65,NB,L2,分区,2.1CIS,L2|2.1CIS
65,NB,L2,别名,POD2.1CIS,
66,NB,B2,别名,B2-S2-1+S2a,
66,NB,B1,分区,C-01a,B1|C01A
66,NB,B1,分区,C-02-3,B1|C023
66,NB,B1M,别名,S2a,
66,NB,L1,分区,SLAB 7-2,L1|SLAB72
66,NB,L1,分区,SLAB 7-3,L1|SLAB73
66,NB,L1,分区,SLAB 7-4,L1|SLAB74
66,NB,L1,别名,ZSlab7-4,
66,NB,L1,别名,ZSlab7-3,
66,NB,L1,别名,ZSlab7-2,
66,NB,L2,分区,2.1T,L2|2.1T
66,NB,L2,别名,POD2.1T,
67,NB,B2,别名,B2-S2-1+S2a,
67,NB,B1,分区,C-01a,B1|C01A
67,NB,B1,分区,C-02-3,B1|C023
67,NB,B1M,别名,S2a,
67,NB,L1,分区,SLAB 7-2,L1|SLAB72
67,NB,L1,分区,SLAB 7-3,L1|SLAB73
67,NB,L1,分区,SLAB 7-4,L1|SLAB74
67,NB,L1,别名,ZSlab7-4,
67,NB,L1,别名,ZSlab7-3,
67,NB,L1,别名,ZSlab7-2,
67,NB,L2,分区,2.1CIST,L2|2.1CIST
67,NB,L2,别名,POD2.1CIST,
68,NB,B2,分区,B2-S1,B2|B2S1
68,NB,B2,分区,B2-S1a,B2|B2S1A
68,NB,B2,别名,B2-S1+1a,
68,NB,B1,分区,C-02-1,B1|C021
68,NB,L1,分区,SLAB 8-1,L1|SLAB81
68,NB,L1,别名,ZSlab8-1,
68,NB,L2,分区,2.2,L2|2.2
68,NB,L2,别名,POD2.2,
69,NB,B2,别名,B2-S1+1a,
69,NB,B1,分区,C-02-2,B1|C022
69,NB,L1,分区,SLAB 8-2,L1|SLAB82
69,NB,L1,别名,ZSlab8-2,
69,NB,L2,分区,2.2T,L2|2.2T
69,NB,L2,别名,POD2.2T,
70,NB,B2,分区,B2-S4-2,B2|B2S42
70,NB,B1,分区,F-01-2,B1|F012
70,NB,L1,分区,SLAB 13 (F01-2),L1|SLAB13F012
70,NB,L1,别名,ZSlab13,
70,NB,L2,分区,2.3CIST,L2|2.3CIST
70,NB,L2,别名,POD2.3CIST,
71,NB,B2,分区,B2-S4-1,B2|B2S41
71,NB,B1,分区,F-01-1,B1|F011
71,NB,L1,分区,SLAB 13 (F01-1),L1|SLAB13F011
71,NB,L1,别名,ZSlab13,
71,NB,L2,分区,2.3T,L2|2.3T
71,NB,L2,别名,POD2.3T,
72,NB,B2,分区,B2-S3-1,B2|B2S31
72,NB,B1,分区,E-01-1,B1|E011
72,NB,B1,别名,E-01,
72,NB,B1M,分区,S-6,B1M|S6
72,NB,L1,分区,SLAB 12-1,L1|SLAB121
72,NB,L1,分区,SLAB 8A-1,L1|SLAB8A1
72,NB,L1,别名,ZSlab8A-1+ZSlab12-1,
72,NB,L1,别名,ZSlab12,
72,NB,L2,分区,2.4,L2|2.4
72,NB,L2,别名,POD2.4,
73,NB,B2,分区,B2-S3-2,B2|B2S32
73,NB,B1,分区,E-01-2,B1|E012
73,NB,L1,分区,SLAB 12-2,L1|SLAB122
73,NB,L1,分区,SLAB 8A-2,L1|SLAB8A2
73,NB,L1,别名,ZSlab8A-2+ZSlab12-2,
