楼层,大区,小区,工作项,月份,序号,计划量,实际量,完成率%,单位,计划开始,计划结束,实际完成日期,标记
B2,EB,EB1S2.1,EB B2 Demolition,,,,,,m²,,,,
B2,EB,EB1S2.1,EB B2-B1 Columns,,,,,,nos,,,,
B2,EB,EB1S2.1,EB B2 Pilecap,,,,,,nos,,,,
B2,EB,EB1S2.1,EB B2-B1 Core Wall,,,,,,nos,,,,
B2,EB,EB1S2.2,EB B2 Demolition,,,,,,m²,,,,
B2,EB,EB1S2.2,EB B2-B1 Columns,,,,,,nos,,,,
B2,EB,EB1S2.2,EB B2 Pilecap,,,,,,nos,,,,
B2,EB,EB1S2.2,EB B2-B1 Core Wall,,,,,,nos,,,,
B2,EB,EB1S2.3,EB B2 Demolition,,,,,,m²,,,,
B2,EB,EB1S2.3,EB B2-B1 Columns,,,,,,nos,,,,
B2,EB,EB1S2.3,EB B2 Pilecap,,,,,,nos,,,,
B2,EB,EB1S2.3,EB B2-B1 Core Wall,,,,,,nos,,,,
B2,EB,EB1S2.4,EB B2 Demolition,,,,,,m²,,,,
B2,EB,EB1S2.4,EB B2-B1 Columns,,,,,,nos,,,,
B2,EB,EB1S2.4,EB B2 Pilecap,,,,,,nos,,,,
B2,EB,EB1S2.4,EB B2-B1 Core Wall,,,,,,nos,,,,
B2,EB,EB1S5,EB B2 Demolition,,,,,,m²,,,,
B2,EB,EB1S5,EB B2-B1 Columns,,,,,,nos,,,,
B2,EB,EB1S5,EB B2 Pilecap,,,,,,nos,,,,
B2,EB,EB1S5,EB B2-B1 Core Wall,,,,,,nos,,,,
B2,EB,EB1S6,EB B2 Demolition,,,,,,m²,,,,
B2,EB,EB1S6,EB B2-B1 Columns,,,,,,nos,,,,
B2,EB,EB1S6,EB B2 Pilecap,,,,,,nos,,,,
B2,EB,EB1S6,EB B2-B1 Core Wall,,,,,,nos,,,,
B2,EB,EB1S7,EB B2 Demolition,,,,,,m²,,,,
B2,EB,EB1S7,EB B2-B1 Columns,,,,,,nos,,,,
B2,EB,EB1S7,EB B2 Pilecap,,,,,,nos,,,,
B2,EB,EB1S7,EB B2-B1 Core Wall,,,,,,nos,,,,
B2,EB,EB1S8,EB B2 Demolition,,,,,,m²,,,,
B2,EB,EB1S8,EB B2-B1 Columns,,,,,,nos,,,,
B2,EB,EB1S8,EB B2 Pilecap,,,,,,nos,,,,
B2,EB,EB1S8,EB B2-B1 Core Wall,,,,,,nos,,,,
B2,EB,EB2-2.1,EB B2 Demolition,,,,,,m²,,,,
B2,EB,EB2-2.1,EB B2-B1 Columns,,,,,,nos,,,,
B2,EB,EB2-2.1,EB B2 Pilecap,,,,,,nos,,,,
B2,EB,EB2-2.1,EB B2-B1 Core Wall,,,,,,nos,,,,
B2,EB,EB2-2.2,EB B2 Demolition,,,,,,m²,,,,
B2,EB,EB2-2.2,EB B2-B1 Columns,,,,,,nos,,,,
B2,EB,EB2-2.2,EB B2 Pilecap,,,,,,nos,,,,
B2,EB,EB2-2.2,EB B2-B1 Core Wall,,,,,,nos,,,,
B2,EB,EB2-2.3,EB B2 Demolition,,,,,,m²,,,,
B2,EB,EB2-2.3,EB B2-B1 Columns,,,,,,nos,,,,
B2,EB,EB2-2.3,EB B2 Pilecap,,,,,,nos,,,,
B2,EB,EB2-2.3,EB B2-B1 Core Wall,,,,,,nos,,,,
B2,EB,EB2-2.4,EB B2 Demolition,,,,,,m²,,,,
B2,EB,EB2-2.4,EB B2-B1 Columns,,,,,,nos,,,,
B2,EB,EB2-2.4,EB B2 Pilecap,,,,,,nos,,,,
B2,EB,EB2-2.4,EB B2-B1 Core Wall,,,,,,nos,,,,
B2,EB,EB2-3.1A-1,EB B2 Demolition,,,,,,m²,,,,
B2,EB,EB2-3.1A-1,EB B2-B1 Columns,,,,,,nos,,,,
B2,EB,EB2-3.1A-1,EB B2 Pilecap,,,,,,nos,,,,
B2,EB,EB2-3.1A-1,EB B2-B1 Core Wall,,,,,,nos,,,,
B2,EB,EB2-3.1A-2+3.2-2,EB B2 Demolition,,,,,,m²,,,,
B2,EB,EB2-3.1A-2+3.2-2,EB B2-B1 Columns,,,,,,nos,,,,
B2,EB,EB2-3.1A-2+3.2-2,EB B2 Pilecap,,,,,,nos,,,,
B2,EB,EB2-3.1A-2+3.2-2,EB B2-B1 Core Wall,,,,,,nos,,,,
B2,EB,EB2-3.2-1,EB B2 Demolition,,,,,,m²,,,,
B2,EB,EB2-3.2-1,EB B2-B1 Columns,,,,,,nos,,,,
B2,EB,EB2-3.2-1,EB B2 Pilecap,,,,,,nos,,,,
B2,EB,EB2-3.2-1,EB B2-B1 Core Wall,,,,,,nos,,,,
B2,EB,EB2-3.3,EB B2 Demolition,,,,,,m²,,,,
B2,EB,EB2-3.3,EB B2-B1 Columns,,,,,,nos,,,,
B2,EB,EB2-3.3,EB B2 Pilecap,,,,,,nos,,,,
B2,EB,EB2-3.3,EB B2-B1 Core Wall,,,,,,nos,,,,
B2,NB,B2-S1+1a,NB B2 Excavation,,,,,,m³,,,,
B2,NB,B2-S1+1a,NB B2 Slab Cast,,,,,,m²,,,,
B2,NB,B2-S1+1a,NB B2-B1 Columns,,,,,,nos,,,,
B2,NB,B2-S1+1a,NB B2-B1 Lift/Stair Wall,,,,,,nos,,,,
B2,NB,B2-S1+1a,NB B2-B1 Core Wall,,,,,,nos,,,,
B2,NB,B2-S10,NB B2 Excavation,,,,,,m³,,,,
B2,NB,B2-S10,NB B2 Slab Cast,,,,,,m²,,,,
B2,NB,B2-S10,NB B2-B1 Columns,,,,,,nos,,,,
B2,NB,B2-S10,NB B2-B1 Lift/Stair Wall,,,,,,nos,,,,
B2,NB,B2-S10,NB B2-B1 Core Wall,,,,,,nos,,,,
B2,NB,B2-S11,NB B2 Excavation,,,,,,m³,,,,
B2,NB,B2-S11,NB B2 Slab Cast,,,,,,m²,,,,
B2,NB,B2-S11,NB B2-B1 Columns,,,,,,nos,,,,
B2,NB,B2-S11,NB B2-B1 Lift/Stair Wall,,,,,,nos,,,,
B2,NB,B2-S11,NB B2-B1 Core Wall,,,,,,nos,,,,
B2,NB,B2-S12,NB B2 Excavation,,,,,,m³,,,,
B2,NB,B2-S12,NB B2 Slab Cast,,,,,,m²,,,,
B2,NB,B2-S12,NB B2-B1 Columns,,,,,,nos,,,,
B2,NB,B2-S12,NB B2-B1 Lift/Stair Wall,,,,,,nos,,,,
B2,NB,B2-S12,NB B2-B1 Core Wall,,,,,,nos,,,,
B2,NB,B2-S13,NB B2 Excavation,,,,,,m³,,,,
B2,NB,B2-S13,NB B2 Slab Cast,,,,,,m²,,,,
B2,NB,B2-S13,NB B2-B1 Columns,,,,,,nos,,,,
B2,NB,B2-S13,NB B2-B1 Lift/Stair Wall,,,,,,nos,,,,
B2,NB,B2-S13,NB B2-B1 Core Wall,,,,,,nos,,,,
B2,NB,B2-S14,NB B2 Excavation,,,,,,m³,,,,
B2,NB,B2-S14,NB B2 Slab Cast,,,,,,m²,,,,
B2,NB,B2-S14,NB B2-B1 Columns,,,,,,nos,,,,
B2,NB,B2-S14,NB B2-B1 Lift/Stair Wall,,,,,,nos,,,,
B2,NB,B2-S14,NB B2-B1 Core Wall,,,,,,nos,,,,
B2,NB,B2-S2+S2a,NB B2 Excavation,,,,,,m³,,,,
B2,NB,B2-S2+S2a,NB B2 Slab Cast,,,,,,m²,,,,
B2,NB,B2-S2+S2a,NB B2-B1 Columns,,,,,,nos,,,,
B2,NB,B2-S2+S2a,NB B2-B1 Lift/Stair Wall,,,,,,nos,,,,
B2,NB,B2-S2+S2a,NB B2-B1 Core Wall,,,,,,nos,,,,
B2,NB,B2-S3,NB B2 Excavation,,,,,,m³,,,,
B2,NB,B2-S3,NB B2 Slab Cast,,,,,,m²,,,,
B2,NB,B2-S3,NB B2-B1 Columns,,,,,,nos,,,,
B2,NB,B2-S3,NB B2-B1 Lift/Stair Wall,,,,,,nos,,,,
B2,NB,B2-S3,NB B2-B1 Core Wall,,,,,,nos,,,,
B2,NB,B2-S4,NB B2 Excavation,,,,,,m³,,,,
B2,NB,B2-S4,NB B2 Slab Cast,,,,,,m²,,,,
B2,NB,B2-S4,NB B2-B1 Columns,,,,,,nos,,,,
B2,NB,B2-S4,NB B2-B1 Lift/Stair Wall,,,,,,nos,,,,
B2,NB,B2-S4,NB B2-B1 Core Wall,,,,,,nos,,,,
B2,NB,B2-S5,NB B2 Excavation,,,,,,m³,,,,
B2,NB,B2-S5,NB B2 Slab Cast,,,,,,m²,,,,
