大区,小区,工作项,月份,序号,计划量,实际量,完成率%,单位,计划开始,计划结束,实际完成日期,标记
NB,S-1,NB B1M Columns,November 2026,0,,,,nos,,,,
NB,S-1,NB B1M Columns,October 2026,1,,,,nos,,,,
NB,S-2,NB B1M Columns,October 2026,0,,,,nos,,,,
NB,S-2,NB B1M Columns,September 2026,0,,,,nos,,,,
NB,S-3,NB B1M Columns,November 2026,0,,,,nos,,,,
NB,S-3,NB B1M Columns,October 2026,0,,,,nos,,,,
NB,S-4,NB B1M Columns,November 2026,0,,,,nos,,,,
NB,S-4,NB B1M Columns,October 2026,1,,,,nos,,,,
NB,S-6,NB B1M Columns,February 2027,0,,,,nos,,,,
NB,S-6,NB B1M Columns,January 2027,1,,,,nos,,,,
NB,S-7,NB B1M Columns,December 2026,1,,,,nos,,,,
NB,S-7,NB B1M Columns,January 2027,0,,,,nos,,,,
NB,S-8,NB B1M Columns,April 2027,0,,,,nos,,,,
NB,S-8,NB B1M Columns,February 2027,1,,,,nos,,,,
NB,S-8,NB B1M Columns,March 2027,0,,,,nos,,,,
