AREA,ZONE,WORK_ITEM,MONTH,IDX,PLAN_QTY,ACTUAL_QTY,PCT,UNIT,PLAN_START,PLAN_FINISH,ACTUAL_FINISH,MARK
EB,EB1S2.1,EB B2 Demolition,August 2026,1,465,,,m²,2026-08-01,2026-08-31,,NO_SCHEDULE
EB,EB1S2.1,EB B2 Demolition,July 2026,0,465,,,m²,2026-07-01,2026-07-31,,NO_SCHEDULE
EB,EB1S2.1,EB B2 Demolition,June 2026,0,466,37,8,m²,2026-06-01,2026-06-30,,NO_SCHEDULE
EB,EB1S2.1,EB B2 Demolition,May 2026,0,224,128,57,m²,2026-05-01,2026-05-31,,NO_SCHEDULE
EB,EB1S2.1,EB B2 Demolition,September 2026,1,135,,,m²,2026-09-01,2026-09-30,,NO_SCHEDULE
EB,EB1S2.2,EB B2 Demolition,June 2026,0,630,384,61,m²,2026-06-01,2026-06-30,,NO_SCHEDULE
EB,EB1S2.3,EB B2 Demolition,April 2026,0,789,511,65,m²,2026-04-01,2026-04-30,,NO_SCHEDULE
EB,EB1S2.4,EB B2 Demolition,April 2026,0,510,330,65,m²,2026-04-01,2026-04-30,,NO_SCHEDULE
EB,EB1S5,EB B2 Demolition,April 2026,0,74,48,65,m²,2026-04-01,2026-04-30,,NO_SCHEDULE
EB,EB1S5,EB B2 Demolition,July 2026,0,181,,,m²,2026-07-01,2026-07-31,,NO_SCHEDULE
EB,EB1S5,EB B2 Demolition,June 2026,0,247,150,61,m²,2026-06-01,2026-06-30,,NO_SCHEDULE
EB,EB1S5,EB B2 Demolition,May 2026,0,255,145,57,m²,2026-05-01,2026-05-31,,NO_SCHEDULE
EB,EB1S6,EB B2 Demolition,February 2027,0,1038,,,m²,2027-02-01,2027-02-28,,NO_SCHEDULE
EB,EB1S7,EB B2 Demolition,April 2027,0,264,,,m²,2027-04-01,2027-04-30,,NO_SCHEDULE
EB,EB1S7,EB B2 Demolition,February 2027,0,132,,,m²,2027-02-01,2027-02-28,,NO_SCHEDULE
EB,EB1S7,EB B2 Demolition,March 2027,0,208,,,m²,2027-03-01,2027-03-31,,NO_SCHEDULE
EB,EB1S8,EB B2 Demolition,March 2027,0,1028,,,m²,2027-03-01,2027-03-31,,NO_SCHEDULE
EB,EB1S8,EB B2-B1 Columns,November 2026,0,6,,,nos,2026-09-18,2026-09-28,,MONTH_MISMATCH
EB,EB2-2.1,EB B2 Pilecap,July 2026,0,1,1,100,nos,2026-06-17,2026-07-10,,
EB,EB2-2.1,EB B2 Pilecap,June 2026,0,2,1,50,nos,2026-04-01,2026-07-10,,
EB,EB2-2.1,EB B2-B1 Columns,June 2026,1,6,4,67,nos,2026-06-17,2026-07-15,,
EB,EB2-2.2,EB B2 Pilecap,April 2026,0,1,4,400,nos,2026-04-09,2026-06-19,,
EB,EB2-2.2,EB B2-B1 Columns,July 2026,0,3,,,nos,2026-06-22,2026-06-30,,MONTH_MISMATCH
EB,EB2-2.2,EB B2 Pilecap,June 2026,0,1,1,100,nos,2026-04-09,2026-06-19,,
EB,EB2-2.2,EB B2 Pilecap,May 2026,0,2,2,100,nos,2026-04-09,2026-06-19,,
EB,EB2-2.3,EB B2-B1 Columns,July 2026,0,6,,,nos,2026-07-01,2026-07-09,,
EB,EB2-2.3,EB B2 Pilecap,June 2026,0,6,3,50,nos,2026-06-22,2026-06-30,,
EB,EB2-2.4,EB B2 Pilecap,July 2026,0,4,4,100,nos,2026-07-13,2026-07-21,,
EB,EB2-2.4,EB B2-B1 Columns,July 2026,1,2,,,nos,2026-07-22,2026-07-30,,
EB,EB2-3.1A-1,EB B2-B1 Columns,August 2026,0,3,,,nos,2026-08-03,2026-08-11,,
EB,EB2-3.1A-1,EB B2 Pilecap,July 2026,0,2,2,100,nos,2026-07-23,2026-07-31,,
EB,EB2-3.1A-2+3.2-2,EB B2 Pilecap,April 2027,0,2,,,nos,2027-04-21,2027-05-10,,
EB,EB2-3.1A-2+3.2-2,EB B2 Pilecap,May 2027,0,2,,,nos,2027-04-21,2027-05-10,,
EB,EB2-3.1A-2+3.2-2,EB B2-B1 Core Wall,October 2026,0,1,,,nos,2026-10-01,2026-10-31,,NO_SCHEDULE
EB,EB2-3.1A-2+3.2-2,EB B2-B1 Columns,September 2026,0,8,,,nos,2026-09-18,2026-09-28,,
EB,EB2-3.2-1,EB B2-B1 Columns,August 2026,0,4,,,nos,2026-08-12,2026-08-20,,
EB,EB2-3.3,EB B2-B1 Columns,September 2026,0,7,,,nos,2026-09-18,2026-09-28,,
NB,B2-S1+1a,NB B2 Excavation,August 2026,0,305,,,m³,2026-08-30,2026-09-19,,
NB,B2-S1+1a,NB B2 Excavation,December 2026,0,263,,,m³,2026-10-26,2026-12-02,,
NB,B2-S1+1a,NB B2 Slab Cast,December 2026,1,327,,,m²,2026-11-03,2026-12-14,,
NB,B2-S1+1a,NB B2-B1 Columns,December 2026,2,6,,,nos,2026-11-03,2027-01-04,,
NB,B2-S1+1a,NB B2-B1 Columns,January 2027,0,1,,,nos,2026-12-15,2027-01-04,,
NB,B2-S1+1a,NB B2 Excavation,November 2026,0,3947,,,m³,2026-10-26,2026-12-02,,
NB,B2-S1+1a,NB B2 Slab Cast,November 2026,1,696,,,m²,2026-10-04,2026-12-14,,
NB,B2-S1+1a,NB B2-B1 Columns,November 2026,2,3,,,nos,2026-11-03,2026-12-30,,
NB,B2-S1+1a,NB B2 Excavation,October 2026,0,789,,,m³,2026-10-26,2026-12-02,,
NB,B2-S1+1a,NB B2 Slab Cast,October 2026,1,597,,,m²,2026-10-04,2026-11-02,,
NB,B2-S1+1a,NB B2 Excavation,September 2026,0,2895,,,m³,2026-08-30,2026-09-19,,
NB,B2-S10,NB B2-B1 Columns,December 2026,0,5,,,nos,2026-10-30,2026-12-28,,
NB,B2-S10,NB B2-B1 Columns,November 2026,0,6,,,nos,2026-10-30,2026-12-28,,
NB,B2-S10,NB B2 Slab Cast,October 2026,0,955,,,m²,2026-10-01,2026-10-29,,
NB,B2-S10,NB B2 Excavation,September 2026,0,4900,,,m³,2026-09-24,2026-09-30,,
NB,B2-S11,NB B2-B1 Columns,August 2026,0,4,,,nos,2026-08-12,2026-10-08,,
NB,B2-S11,NB B2 Slab Cast,July 2026,0,505,,,m²,2026-07-14,2026-08-11,,
NB,B2-S11,NB B2-B1 Columns,July 2026,1,1,,,nos,2026-08-12,2026-10-08,,MONTH_MISMATCH
NB,B2-S11,NB B2 Excavation,June 2026,0,3100,558,18,m³,2026-06-24,2026-07-13,,
NB,B2-S11,NB B2 Slab Cast,June 2026,1,105,,,m²,2026-07-14,2026-08-11,,MONTH_MISMATCH
NB,B2-S11,NB B2-B1 Columns,September 2026,0,3,,,nos,2026-08-12,2026-10-08,,
NB,B2-S12,NB B2 Excavation,August 2026,0,5917,,,m³,2026-08-06,2026-09-03,,
NB,B2-S12,NB B2-B1 Lift/Stair Wall,December 2026,0,1,,,nos,2026-11-16,2026-12-25,,
NB,B2-S12,NB B2-B1 Columns,November 2026,0,7,,,nos,2026-10-05,2026-12-01,,
NB,B2-S12,NB B2 Slab Cast,October 2026,0,89,,,m²,2026-09-04,2026-10-02,,
NB,B2-S12,NB B2-B1 Columns,October 2026,1,7,,,nos,2026-10-05,2026-12-01,,
NB,B2-S12,NB B2-B1 Core Wall,October 2026,2,1,,,nos,2026-10-05,2026-11-13,,
NB,B2-S12,NB B2 Excavation,September 2026,0,683,,,m³,2026-08-06,2026-09-03,,
NB,B2-S12,NB B2 Slab Cast,September 2026,1,1202,,,m²,2026-09-04,2026-10-02,,
NB,B2-S13,NB B2 Excavation,August 2026,0,3400,,,m³,2026-08-07,2026-08-17,,
NB,B2-S13,NB B2-B1 Columns,November 2026,0,4,,,nos,2026-09-30,2026-11-26,,
NB,B2-S13,NB B2-B1 Columns,October 2026,0,5,,,nos,2026-09-30,2026-11-26,,
NB,B2-S13,NB B2 Slab Cast,September 2026,0,695,,,m²,2026-09-01,2026-09-29,,
NB,B2-S14,NB B2 Excavation,August 2026,0,331,,,m³,2026-07-06,2026-08-03,,
NB,B2-S14,NB B2 Slab Cast,August 2026,1,600,,,m²,2026-08-04,2026-09-01,,
NB,B2-S14,NB B2 Excavation,July 2026,0,2869,2300,80,m³,2026-07-06,2026-08-03,,
NB,B2-S14,NB B2-B1 Columns,October 2026,0,4,,,nos,2026-09-02,2026-10-29,,
NB,B2-S14,NB B2 Slab Cast,September 2026,0,22,,,m²,2026-08-04,2026-09-01,,
NB,B2-S14,NB B2-B1 Columns,September 2026,1,4,,,nos,2026-09-02,2026-10-29,,
NB,B2-S2+S2a,NB B2 Excavation,August 2026,0,3283,,,m³,2026-07-31,2026-08-28,,
NB,B2-S2+S2a,NB B2 Excavation,December 2026,0,4921,,,m³,2026-12-06,2027-01-02,,
NB,B2-S2+S2a,NB B2 Slab Cast,February 2027,0,36,,,m²,2027-01-04,2027-02-01,,
NB,B2-S2+S2a,NB B2-B1 Columns,February 2027,1,4,,,nos,2027-02-02,2027-03-31,,
NB,B2-S2+S2a,NB B2 Excavation,January 2027,0,379,,,m³,2026-12-06,2027-01-02,,
NB,B2-S2+S2a,NB B2 Slab Cast,January 2027,1,1011,,,m²,2027-01-04,2027-02-01,,
NB,B2-S2+S2a,NB B2 Excavation,July 2026,0,117,94,80,m³,2026-07-31,2026-08-28,,
NB,B2-S2+S2a,NB B2-B1 Columns,March 2027,0,4,,,nos,2027-02-02,2027-03-31,,
NB,B2-S2+S2a,NB B2-B1 Columns,November 2026,0,3,,,nos,2026-10-21,2026-11-18,,
NB,B2-S2+S2a,NB B2 Slab Cast,October 2026,0,321,,,m²,2026-09-09,2026-10-20,,
NB,B2-S2+S2a,NB B2-B1 Columns,October 2026,1,2,,,nos,2026-10-21,2026-11-18,,
NB,B2-S2+S2a,NB B2 Slab Cast,September 2026,0,354,,,m²,2026-09-09,2026-10-20,,
NB,B2-S3,NB B2 Excavation,August 2026,0,4420,,,m³,2026-08-07,2026-09-15,,
NB,B2-S3,NB B2-B1 Columns,December 2026,0,2,,,nos,2026-10-15,2026-12-11,,
NB,B2-S3,NB B2-B1 Columns,November 2026,0,5,,,nos,2026-10-15,2026-12-11,,
NB,B2-S3,NB B2 Slab Cast,October 2026,0,607,,,m²,2026-09-16,2026-10-14,,
NB,B2-S3,NB B2-B1 Columns,October 2026,1,4,,,nos,2026-10-15,2026-12-11,,
NB,B2-S3,NB B2 Excavation,September 2026,0,2380,,,m³,2026-08-07,2026-09-15,,
NB,B2-S3,NB B2 Slab Cast,September 2026,1,747,,,m²,2026-09-16,2026-10-14,,
NB,B2-S4,NB B2 Slab Cast,December 2026,0,406,,,m²,2026-11-11,2026-12-09,,
NB,B2-S4,NB B2-B1 Columns,December 2026,1,3,,,nos,2026-12-10,2027-02-05,,
NB,B2-S4,NB B2-B1 Columns,February 2027,0,1,,,nos,2026-12-10,2027-02-05,,
NB,B2-S4,NB B2-B1 Columns,January 2027,0,4,,,nos,2026-12-10,2027-02-05,,
NB,B2-S4,NB B2 Slab Cast,November 2026,0,902,,,m²,2026-11-11,2026-12-09,,
NB,B2-S4,NB B2 Excavation,October 2026,0,4552,,,m³,2026-10-08,2026-11-05,,
NB,B2-S4,NB B2 Excavation,September 2026,0,2048,,,m³,2026-10-08,2026-11-05,,MONTH_MISMATCH
NB,B2-S5,NB B2 Slab Cast,December 2026,0,71,,,m²,2026-11-11,2026-12-01,,
NB,B2-S5,NB B2-B1 Columns,December 2026,1,6,,,nos,2026-12-02,2027-01-28,,
NB,B2-S5,NB B2-B1 Core Wall,December 2026,2,1,,,nos,2026-12-02,2027-02-23,,
NB,B2-S5,NB B2-B1 Core Wall,February 2027,0,1,,,nos,2026-12-02,2027-02-23,,
NB,B2-S5,NB B2-B1 Columns,January 2027,0,5,,,nos,2026-12-02,2027-01-28,,
NB,B2-S5,NB B2-B1 Core Wall,January 2027,1,1,,,nos,2026-12-02,2027-02-23,,
NB,B2-S5,NB B2 Excavation,November 2026,0,2500,,,m³,2026-10-12,2026-11-10,,
NB,B2-S5,NB B2 Slab Cast,November 2026,1,1425,,,m²,2026-11-11,2026-12-01,,
NB,B2-S5,NB B2 Excavation,October 2026,0,5000,,,m³,2026-10-12,2026-11-10,,
NB,B2-S6+6a,NB B2 Excavation,December 2026,0,2345,,,m³,2026-10-24,2026-11-13,,
NB,B2-S6+6a,NB B2 Slab Cast,December 2026,1,684,,,m²,2026-11-16,2026-12-03,,
NB,B2-S6+6a,NB B2-B1 Columns,December 2026,2,3,,,nos,2026-12-04,2027-02-01,,
NB,B2-S6+6a,NB B2-B1 Columns,February 2027,0,2,,,nos,2026-12-04,2027-02-01,,
NB,B2-S6+6a,NB B2 Slab Cast,January 2027,0,250,,,m²,2026-11-16,2026-12-03,,
NB,B2-S6+6a,NB B2-B1 Columns,January 2027,1,5,,,nos,2026-12-04,2027-02-01,,
NB,B2-S6+6a,NB B2-B1 Columns,March 2027,0,1,,,nos,2026-12-04,2027-02-01,,
NB,B2-S6+6a,NB B2 Excavation,November 2026,0,3574,,,m³,2026-10-24,2026-11-13,,
NB,B2-S6+6a,NB B2 Slab Cast,November 2026,1,528,,,m²,2026-11-16,2026-12-03,,
NB,B2-S6+6a,NB B2 Excavation,October 2026,0,1181,,,m³,2026-10-24,2026-11-13,,
NB,B2-S7,NB B2 Excavation,December 2026,0,268,,,m³,2026-10-26,2026-12-02,,
NB,B2-S7,NB B2 Slab Cast,December 2026,1,1030,,,m²,2026-12-03,2026-12-31,,
NB,B2-S7,NB B2-B1 Columns,February 2027,0,3,,,nos,2027-01-01,2027-03-01,,
NB,B2-S7,NB B2-B1 Columns,January 2027,0,3,,,nos,2027-01-01,2027-03-01,,
NB,B2-S7,NB B2 Excavation,November 2026,0,4026,,,m³,2026-10-26,2026-12-02,,
NB,B2-S7,NB B2 Excavation,October 2026,0,805,,,m³,2026-10-26,2026-12-02,,
NB,B2-S8,NB B2-B1 Columns,December 2026,0,6,,,nos,2026-11-02,2026-12-29,,
NB,B2-S8,NB B2-B1 Columns,November 2026,0,6,,,nos,2026-11-02,2026-12-29,,
NB,B2-S8,NB B2 Excavation,October 2026,0,350,,,m³,2026-09-18,2026-10-01,,
NB,B2-S8,NB B2 Slab Cast,October 2026,1,989,,,m²,2026-10-02,2026-10-30,,
NB,B2-S8,NB B2 Excavation,September 2026,0,4550,,,m³,2026-09-18,2026-10-01,,
NB,B2-S8a+14a+13a,NB B2 Excavation,August 2026,0,3055,,,m³,2026-09-01,2026-09-14,,
NB,B2-S8a+14a+13a,NB B2 Slab Cast,August 2026,1,492,,,m²,2026-09-15,2026-10-13,,
NB,B2-S8a+14a+13a,NB B2-B1 Columns,December 2026,0,1,,,nos,2026-10-14,2026-12-10,,
NB,B2-S8a+14a+13a,NB B2 Excavation,July 2026,0,945,758,80,m³,2026-09-01,2026-09-14,,
NB,B2-S8a+14a+13a,NB B2-B1 Columns,November 2026,0,5,,,nos,2026-10-14,2026-12-10,,
NB,B2-S8a+14a+13a,NB B2 Slab Cast,October 2026,0,282,,,m²,2026-09-15,2026-10-13,,
NB,B2-S8a+14a+13a,NB B2-B1 Columns,October 2026,1,9,,,nos,2026-10-14,2026-12-10,,
NB,B2-S8a+14a+13a,NB B2 Excavation,September 2026,0,3200,,,m³,2026-09-01,2026-09-14,,
NB,B2-S8a+14a+13a,NB B2 Slab Cast,September 2026,1,629,,,m²,2026-09-15,2026-10-13,,
NB,B2-S8a+14a+13a,NB B2-B1 Columns,September 2026,2,5,,,nos,2026-10-14,2026-12-10,,
NB,B2-S9,NB B2 Excavation,August 2026,0,1631,,,m³,2026-08-21,2026-09-18,,
NB,B2-S9,NB B2-B1 Columns,December 2026,0,3,,,nos,2026-10-20,2026-12-16,,
NB,B2-S9,NB B2-B1 Columns,November 2026,0,6,,,nos,2026-10-20,2026-12-16,,
NB,B2-S9,NB B2 Slab Cast,October 2026,0,570,,,m²,2026-09-21,2026-10-19,,
NB,B2-S9,NB B2-B1 Columns,October 2026,1,2,,,nos,2026-10-20,2026-12-16,,
NB,B2-S9,NB B2 Excavation,September 2026,0,2669,,,m³,2026-08-21,2026-09-18,,
NB,B2-S9,NB B2 Slab Cast,September 2026,1,301,,,m²,2026-09-21,2026-10-19,,
