大区,小区,工作项,月份,序号,计划量,实际量,完成率%,单位,计划开始,计划结束,实际完成日期,标记
MA,P-3.3,Piling,April 2026,0,,,,nos,,,,
MA,P-3.3,Piling,August 2026,0,,,,nos,,,,
MA,P-3.3,Piling,July 2026,0,,,,nos,,,,
MA,P-3.3,Piling,June 2026,0,,,,nos,,,,
MA,P-3.3,Piling,May 2026,0,,,,nos,,,,
MA,P-3.4,Piling,April 2026,0,,,,nos,,,,
MA,P-3.4,Piling,July 2026,0,,,,nos,,,,
MA,P-3.4,Piling,June 2026,0,,,,nos,,,,
MA,P-3.4,Piling,May 2026,0,,,,nos,,,,
MA,ZC1,Working Platform & Precast,April 2026,0,,,,m²,,,,
MA,ZC1,Working Platform & Precast,August 2026,0,,,,m²,,,,
MA,ZC1,RC Beam & Slab Cast,August 2026,1,,,,m²,,,,
MA,ZC1,Working Platform & Precast,July 2026,0,,,,m²,,,,
MA,ZC1,RC Beam & Slab Cast,July 2026,1,,,,m²,,,,
MA,ZC1,RC Beam & Slab Cast,June 2026,0,,,,m²,,,,
MA,ZC1,Working Platform & Precast,June 2026,1,,,,m²,,,,
MA,ZC1,RC Beam & Slab Cast,May 2026,0,,,,m²,,,,
MA,ZC2.1+2.2,Working Platform & Precast,August 2026,0,,,,m²,,,,
MA,ZC2.1+2.2,RC Beam & Slab Cast,August 2026,1,,,,m²,,,,
MA,ZC2.1+2.2,Working Platform & Precast,December 2026,0,,,,m²,,,,
MA,ZC2.1+2.2,RC Beam & Slab Cast,December 2026,1,,,,m²,,,,
MA,ZC2.1+2.2,Working Platform & Precast,November 2026,0,,,,m²,,,,
MA,ZC2.1+2.2,RC Beam & Slab Cast,November 2026,1,,,,m²,,,,
MA,ZC2.1+2.2,Working Platform & Precast,October 2026,0,,,,m²,,,,
MA,ZC2.1+2.2,RC Beam & Slab Cast,October 2026,1,,,,m²,,,,
MA,ZC2.1+2.2,RC Beam & Slab Cast,September 2026,0,,,,m²,,,,
MA,ZC2.1+2.2,Working Platform & Precast,September 2026,1,,,,m²,,,,
MA,ZC3.1a+3.2,Working Platform & Precast,December 2026,0,,,,m²,,,,
MA,ZC3.1a+3.2,RC Beam & Slab Cast,December 2026,1,,,,m²,,,,
MA,ZC3.1a+3.2,Working Platform & Precast,November 2026,0,,,,m²,,,,
MA,ZC3.1a+3.2,RC Beam & Slab Cast,November 2026,1,,,,m²,,,,
MA,ZC3.1a+3.2,Working Platform & Precast,October 2026,0,,,,m²,,,,
MA,ZC3.1a+3.2,RC Beam & Slab Cast,October 2026,1,,,,m²,,,,
MA,ZC3.1a+3.2,Working Platform & Precast,September 2026,0,,,,m²,,,,
MA,ZC3.1a+3.2,RC Beam & Slab Cast,September 2026,1,,,,m²,,,,
MA,ZC3.1b,Working Platform & Precast,December 2026,0,,,,m²,,,,
MA,ZC3.1b,RC Beam & Slab Cast,December 2026,1,,,,m²,,,,
MA,ZC3.1b,RC Beam & Slab Cast,January 2027,0,,,,m²,,,,
MA,ZC3.1b,Working Platform & Precast,November 2026,0,,,,m²,,,,
MA,ZC3.1b,RC Beam & Slab Cast,November 2026,1,,,,m²,,,,
MA,ZC3.1b,Working Platform & Precast,October 2026,0,,,,m²,,,,
MA,ZC3.1b,RC Beam & Slab Cast,October 2026,1,,,,m²,,,,
MA,ZC3.1b,Working Platform & Precast,September 2026,0,,,,m²,,,,
MA,ZC3.1b,RC Beam & Slab Cast,September 2026,1,,,,m²,,,,
