大区,小区,工作项,月份,序号,计划量,实际量,完成率%,单位,计划开始,计划结束,实际完成日期,标记
MA,P-3.3,Piling,April 2026,0,6,,,nos,2026-04-01,2026-04-30,,无Excel排程
MA,P-3.3,Piling,August 2026,0,10,,,nos,2026-08-01,2026-08-31,,无Excel排程
MA,P-3.3,Piling,July 2026,0,20,14,70,nos,2026-07-01,2026-07-31,,无Excel排程
MA,P-3.3,Piling,June 2026,0,18,11,61,nos,2026-06-01,2026-06-30,,无Excel排程
MA,P-3.3,Piling,May 2026,0,16,,,nos,2026-05-01,2026-05-31,,无Excel排程
MA,P-3.4,Piling,April 2026,0,8,,,nos,2026-04-01,2026-04-30,,无Excel排程
MA,P-3.4,Piling,July 2026,0,11,11,100,nos,2026-07-01,2026-07-31,,无Excel排程
MA,P-3.4,Piling,June 2026,0,20,18,90,nos,2026-06-01,2026-06-30,,无Excel排程
MA,P-3.4,Piling,May 2026,0,23,,,nos,2026-05-01,2026-05-31,,无Excel排程
MA,ZC1,Working Platform & Precast,April 2026,0,400,,,m²,2026-04-01,2026-04-30,,
MA,ZC1,Working Platform & Precast,August 2026,0,343,,,m²,2026-08-01,2026-08-31,,
MA,ZC1,RC Beam & Slab Cast,August 2026,1,680,,,m²,2026-08-01,2026-08-31,,无Excel排程
MA,ZC1,Working Platform & Precast,July 2026,0,1457,100,7,m²,2026-07-01,2026-07-31,,
MA,ZC1,RC Beam & Slab Cast,July 2026,1,1629,,,m²,2026-07-01,2026-07-31,,无Excel排程
MA,ZC1,RC Beam & Slab Cast,June 2026,0,1602,95,6,m²,2026-06-01,2026-06-30,,无Excel排程
MA,ZC1,Working Platform & Precast,June 2026,1,2200,1200,55,m²,2026-06-01,2026-06-30,,
MA,ZC1,RC Beam & Slab Cast,May 2026,0,289,650,225,m²,2026-05-01,2026-05-31,,无Excel排程
MA,ZC2.1+2.2,Working Platform & Precast,August 2026,0,667,,,m²,2026-08-01,2026-08-31,,
MA,ZC2.1+2.2,RC Beam & Slab Cast,August 2026,1,429,,,m²,2026-08-01,2026-08-31,,无Excel排程
MA,ZC2.1+2.2,Working Platform & Precast,December 2026,0,67,,,m²,2026-12-01,2026-12-31,,
MA,ZC2.1+2.2,RC Beam & Slab Cast,December 2026,1,1229,,,m²,2026-12-01,2026-12-31,,无Excel排程
MA,ZC2.1+2.2,Working Platform & Precast,November 2026,0,1333,,,m²,2026-11-01,2026-11-30,,
MA,ZC2.1+2.2,RC Beam & Slab Cast,November 2026,1,1486,,,m²,2026-11-01,2026-11-30,,无Excel排程
MA,ZC2.1+2.2,Working Platform & Precast,October 2026,0,2000,,,m²,2026-10-01,2026-10-31,,
MA,ZC2.1+2.2,RC Beam & Slab Cast,October 2026,1,886,,,m²,2026-10-01,2026-10-31,,无Excel排程
MA,ZC2.1+2.2,RC Beam & Slab Cast,September 2026,0,771,,,m²,2026-09-01,2026-09-30,,无Excel排程
MA,ZC2.1+2.2,Working Platform & Precast,September 2026,1,733,,,m²,2026-09-01,2026-09-30,,
MA,ZC3.1a+3.2,Working Platform & Precast,December 2026,0,444,,,m²,2026-12-01,2026-12-31,,
MA,ZC3.1a+3.2,RC Beam & Slab Cast,December 2026,1,875,,,m²,2026-12-01,2026-12-31,,无Excel排程
MA,ZC3.1a+3.2,Working Platform & Precast,November 2026,0,1056,,,m²,2026-11-01,2026-11-30,,
MA,ZC3.1a+3.2,RC Beam & Slab Cast,November 2026,1,1300,,,m²,2026-11-01,2026-11-30,,无Excel排程
MA,ZC3.1a+3.2,Working Platform & Precast,October 2026,0,1000,,,m²,2026-10-01,2026-10-31,,
MA,ZC3.1a+3.2,RC Beam & Slab Cast,October 2026,1,1300,,,m²,2026-10-01,2026-10-31,,无Excel排程
MA,ZC3.1a+3.2,Working Platform & Precast,September 2026,0,1000,,,m²,2026-09-01,2026-09-30,,
MA,ZC3.1a+3.2,RC Beam & Slab Cast,September 2026,1,25,,,m²,2026-09-01,2026-09-30,,无Excel排程
MA,ZC3.1b,Working Platform & Precast,December 2026,0,756,,,m²,2026-12-01,2026-12-31,,
MA,ZC3.1b,RC Beam & Slab Cast,December 2026,1,1017,,,m²,2026-12-01,2026-12-31,,无Excel排程
MA,ZC3.1b,RC Beam & Slab Cast,January 2027,0,210,,,m²,2027-01-01,2027-01-31,,无Excel排程
MA,ZC3.1b,Working Platform & Precast,November 2026,0,844,,,m²,2026-11-01,2026-11-30,,
MA,ZC3.1b,RC Beam & Slab Cast,November 2026,1,1038,,,m²,2026-11-01,2026-11-30,,无Excel排程
MA,ZC3.1b,Working Platform & Precast,October 2026,0,800,,,m²,2026-10-01,2026-10-31,,
MA,ZC3.1b,RC Beam & Slab Cast,October 2026,1,897,,,m²,2026-10-01,2026-10-31,,无Excel排程
MA,ZC3.1b,Working Platform & Precast,September 2026,0,800,,,m²,2026-09-01,2026-09-30,,
MA,ZC3.1b,RC Beam & Slab Cast,September 2026,1,38,,,m²,2026-09-01,2026-09-30,,无Excel排程
