楼层,分区,活动,活动名称(参考),月份,计划量,完成量,活动开始,活动结束
B2,B2|B2S7,col,Columns,,,,,
B2,B2|B2S7,pile,Pile Caps,,,,,
B2,B2|B2S7,mbeam,Steel Main Beams,,,,,
B2,B2|B2S7,cbeam,Cast S Main Beams,,,,,
B2,B2|B2S7,ls,Lift / Stairs,,,,,
B2,B2|B2S7,exc,Excavation,,,,,
B2,B2|B2S7,demo,Demolition,,,,,
B2,B2|B2S7,slab,Cast Slab,,,,,
B2,B2|B2S7,act_wall,Wall,,,,,
B2,B2|B2S7,act_corewall,Core Wall,,,,,
B2,B2|B2S7,act_colcorbel,Columns Corbel,,,,,
B2,B2|B2S31,col,Columns,,,,,
B2,B2|B2S31,pile,Pile Caps,,,,,
B2,B2|B2S31,mbeam,Steel Main Beams,,,,,
B2,B2|B2S31,cbeam,Cast S Main Beams,,,,,
B2,B2|B2S31,ls,Lift / Stairs,,,,,
B2,B2|B2S31,exc,Excavation,,,,,
B2,B2|B2S31,demo,Demolition,,,,,
B2,B2|B2S31,slab,Cast Slab,,,,,
B2,B2|B2S31,act_wall,Wall,,,,,
B2,B2|B2S31,act_corewall,Core Wall,,,,,
B2,B2|B2S31,act_colcorbel,Columns Corbel,,,,,
B2,B2|B2S32,col,Columns,,,,,
B2,B2|B2S32,pile,Pile Caps,,,,,
B2,B2|B2S32,mbeam,Steel Main Beams,,,,,
B2,B2|B2S32,cbeam,Cast S Main Beams,,,,,
B2,B2|B2S32,ls,Lift / Stairs,,,,,
B2,B2|B2S32,exc,Excavation,,,,,
B2,B2|B2S32,demo,Demolition,,,,,
B2,B2|B2S32,slab,Cast Slab,,,,,
B2,B2|B2S32,act_wall,Wall,,,,,
B2,B2|B2S32,act_corewall,Core Wall,,,,,
B2,B2|B2S32,act_colcorbel,Columns Corbel,,,,,
B2,B2|B2S41,col,Columns,,,,,
B2,B2|B2S41,pile,Pile Caps,,,,,
B2,B2|B2S41,mbeam,Steel Main Beams,,,,,
