分区名称,mk键(分区列填这个),楼层,大区,类型,备注(父区)
EB1S1,B1|EB1S1,B1,Existing Basement,分区,
EB1S2.1,B1|EB1S2.1,B1,Existing Basement,分区,
EB1S2.2,B1|EB1S2.2,B1,Existing Basement,分区,
EB1S2.3,B1|EB1S2.3,B1,Existing Basement,分区,
EB1S2.4,B1|EB1S2.4,B1,Existing Basement,分区,
EB1S5,B1|EB1S5,B1,Existing Basement,分区,
EB1S6,B1|EB1S6,B1,Existing Basement,分区,
EB1S7,B1|EB1S7,B1,Existing Basement,分区,
EB1S8,B1|EB1S8,B1,Existing Basement,分区,
A-01,B1|A01,B1,New Basement,分区,
A-02,B1|A02,B1,New Basement,分区,
A-03,B1|A03,B1,New Basement,分区,
A-04,B1|A04,B1,New Basement,分区,
A-05,B1|A05,B1,New Basement,分区,
A-06,B1|A06,B1,New Basement,分区,
A-07,B1|A07,B1,New Basement,分区,
B-01,B1|B01,B1,New Basement,分区,
B-02,B1|B02,B1,New Basement,分区,
B-03,B1|B03,B1,New Basement,分区,
B-04,B1|B04,B1,New Basement,分区,
B-04A,B1|B04A,B1,New Basement,分区,
C-01a,B1|C01A,B1,New Basement,分区,
C-01a-1,B1|C01A1,B1,New Basement,分区,
C-01b,B1|C01B,B1,New Basement,分区,
C-02-1,B1|C021,B1,New Basement,分区,
C-02-2,B1|C022,B1,New Basement,分区,
C-02-3,B1|C023,B1,New Basement,分区,
D-01,B1|D01,B1,New Basement,分区,
D-02,B1|D02,B1,New Basement,分区,
E-01-1,B1|E011,B1,New Basement,分区,
E-01-2,B1|E012,B1,New Basement,分区,
F-01-1,B1|F011,B1,New Basement,分区,
F-01-2,B1|F012,B1,New Basement,分区,
F-02-1,B1|F021,B1,New Basement,分区,
F-02-2,B1|F022,B1,New Basement,分区,
S-1,B1M|S1,B1M,New Basement,分区,
S-2,B1M|S2,B1M,New Basement,分区,
S-3,B1M|S3,B1M,New Basement,分区,
S-4,B1M|S4,B1M,New Basement,分区,
S-5,B1M|S5,B1M,New Basement,分区,
S-6,B1M|S6,B1M,New Basement,分区,
S-7,B1M|S7,B1M,New Basement,分区,
S-8,B1M|S8,B1M,New Basement,分区,
EB2-1,B2|EB21,B2,Existing Basement,分区,
EB2-2.1,B2|EB22.1,B2,Existing Basement,分区,
EB2-2.2,B2|EB22.2,B2,Existing Basement,分区,
EB2-2.3,B2|EB22.3,B2,Existing Basement,分区,
EB2-2.4,B2|EB22.4,B2,Existing Basement,分区,
EB2-3.1A-1,B2|EB23.1A1,B2,Existing Basement,分区,
EB2-3.1A-2,B2|EB23.1A2,B2,Existing Basement,分区,
EB2-3.1B,B2|EB23.1B,B2,Existing Basement,分区,
EB2-3.1C,B2|EB23.1C,B2,Existing Basement,分区,
EB2-3.2-1,B2|EB23.21,B2,Existing Basement,分区,
EB2-3.2-2,B2|EB23.22,B2,Existing Basement,分区,
EB2-3.3,B2|EB23.3,B2,Existing Basement,分区,
EB2-3.4,B2|EB23.4,B2,Existing Basement,分区,
EB2-3.5,B2|EB23.5,B2,Existing Basement,分区,
B2-S1,B2|B2S1,B2,New Basement,分区,
B2-S10,B2|B2S10,B2,New Basement,分区,
B2-S11,B2|B2S11,B2,New Basement,分区,
B2-S12,B2|B2S12,B2,New Basement,分区,
B2-S13,B2|B2S13,B2,New Basement,分区,
B2-S13a,B2|B2S13A,B2,New Basement,分区,
B2-S14,B2|B2S14,B2,New Basement,分区,
B2-S14a,B2|B2S14A,B2,New Basement,分区,
B2-S1a,B2|B2S1A,B2,New Basement,分区,
B2-S2-1,B2|B2S21,B2,New Basement,分区,
B2-S2-2,B2|B2S22,B2,New Basement,分区,
B2-S2a,B2|B2S2A,B2,New Basement,分区,
B2-S3-1,B2|B2S31,B2,New Basement,分区,
B2-S3-2,B2|B2S32,B2,New Basement,分区,
B2-S4-1,B2|B2S41,B2,New Basement,分区,
B2-S4-2,B2|B2S42,B2,New Basement,分区,
B2-S5-1,B2|B2S51,B2,New Basement,分区,
B2-S5-2,B2|B2S52,B2,New Basement,分区,
B2-S6,B2|B2S6,B2,New Basement,分区,
B2-S6a,B2|B2S6A,B2,New Basement,分区,
B2-S7,B2|B2S7,B2,New Basement,分区,
B2-S8,B2|B2S8,B2,New Basement,分区,
B2-S8a,B2|B2S8A,B2,New Basement,分区,
B2-S9,B2|B2S9,B2,New Basement,分区,
SLAB B-1,L1|SLABB1,L1,Existing Basement,分区,
SLAB B-2.1,L1|SLABB2.1,L1,Existing Basement,分区,
SLAB B-2.2,L1|SLABB2.2,L1,Existing Basement,分区,
SLAB B-2.3,L1|SLABB2.3,L1,Existing Basement,分区,
SLAB B-2.4,L1|SLABB2.4,L1,Existing Basement,分区,
SLAB B-3.1,L1|SLABB3.1,L1,Existing Basement,分区,
SLAB B-3.2,L1|SLABB3.2,L1,Existing Basement,分区,
SLAB B-3.3,L1|SLABB3.3,L1,Existing Basement,分区,
SLAB B-3.4,L1|SLABB3.4,L1,Existing Basement,分区,
SLAB B-3.5,L1|SLABB3.5,L1,Existing Basement,分区,
CAPPING BEAM 1A,L1|CAPPINGBEAM1A,L1,New Basement,分区,
CAPPING BEAM 1B,L1|CAPPINGBEAM1B,L1,New Basement,分区,
CAPPING BEAM 1C,L1|CAPPINGBEAM1C,L1,New Basement,分区,
